Federal Open Market Committee Meeting Minutes, Transcripts, and Other Documents
https://fraser.stlouisfed.org/title/federal-open-market-committee-meeting-minutes-transcripts-documents-677?browse=2020s#584519

Meeting, January 12, 1960
Meeting, January 26, 1960
Meeting, February 9, 1960
Meeting, March 1, 1960
Meeting, March 22, 1960
Meeting, April 12, 1960
Meeting, May 3, 1960
Meeting, May 24, 1960
Meeting, June 14, 1960
Meeting, July 6, 1960
Meeting, July 26, 1960
Meeting, August 16, 1960
Meeting, September 13, 1960
Meeting, October 4, 1960
Meeting, October 25, 1960
Meeting, November 22, 1960
Meeting, December 13, 1960
Meeting, January 10, 1961
Meeting, January 24, 1961
Meeting, February 7, 1961
Meeting, March 7, 1961
Meeting, March 28, 1961
Meeting, April 18, 1961
Meeting, May 9, 1961
Meeting, June 6, 1961
Meeting, June 20, 1961
Meeting, July 11, 1961
Meeting, August 1, 1961
Meeting, August 22, 1961
Meeting, September 12, 1961
Meeting, October 3, 1961
Meeting, October 24, 1961
Meeting, November 14, 1961
Meeting, December 5, 1961
Meeting, December 19, 1961
Meeting, January 9, 1962
Meeting, January 23, 1962
Meeting, February 13, 1962
Meeting, March 6, 1962
Meeting, March 27, 1962
Meeting, April 17, 1962
Meeting, May 8, 1962
Meeting, May 29, 1962
Meeting, June 19, 1962
Telephone Conference, June 21, 1962
Meeting, July 10, 1962
Meeting, July 31, 1962
Meeting, August 21, 1962
Meeting, September 11, 1962
Meeting, October 2, 1962
Meeting, October 23, 1962
Meeting, November 13, 1962
Meeting, December 4, 1962
Meeting, December 18, 1962
Meeting, January 8, 1963
Meeting, January 29, 1963
Meeting, February 12, 1963
Meeting, March 5, 1963
Meeting, March 26, 1963
Meeting, April 16, 1963
Meeting, May 7, 1963
Meeting, May 28, 1963
Meeting, June 18, 1963
Meeting, July 9, 1963
Meeting, July 30, 1963
Meeting, August 20, 1963
Meeting, September 10, 1963
Meeting, October 1, 1963
Meeting, October 22, 1963
Meeting, November 12, 1963
Telephone Conference, November 26, 1963
Meeting, December 3, 1963
Meeting, December 17, 1963
Meeting, January 7, 1964
Meeting, January 28, 1964
Meeting, February 11, 1964
Meeting, March 3, 1964
Meeting, March 24, 1964
Meeting, April 14, 1964
Meeting, May 5, 1964
Meeting, May 26, 1964
Meeting, June 17, 1964
Meeting, July 7, 1964
Meeting, July 28, 1964
Meeting, August 18, 1964
Meeting, September 8, 1964
Meeting, September 29, 1964
Meeting, October 20, 1964
Meeting, November 10, 1964
Telephone Conference, November 24, 1964
Meeting, December 1, 1964
Meeting, December 15, 1964
Meeting, January 12, 1965
Meeting, February 2, 1965
Meeting, March 2, 1965
Meeting, March 23, 1965
Meeting, April 13, 1965
Meeting, May 11, 1965
Meeting, May 25, 1965
Meeting, June 15, 1965
Meeting, July 13, 1965
Meeting, August 10, 1965
Meeting, August 31, 1965
Telephone Conference, September 8, 1965
Meeting, September 28, 1965
Meeting, October 12, 1965
Meeting, November 2, 1965
Telephone Conference, November 4, 1965 : Historical Minutes
Meeting, November 23, 1965
Meeting, December 14, 1965
Meeting, January 11, 1966
Meeting, February 8, 1966
Meeting, March 1, 1966
Meeting, March 22, 1966
Meeting, April 12, 1966
Meeting, May 10, 1966
Meeting, June 7, 1966
Meeting, June 28, 1966
Telephone Conference, July 11, 1966 : Historical Minutes
Meeting, July 26, 1966
Meeting, August 23, 1966
Meeting, September 13, 1966
Meeting, October 4, 1966
Meeting, November 1, 1966
Meeting, November 22, 1966
Meeting, December 13, 1966
Meeting, January 10, 1967
Meeting, February 7, 1967
Meeting, March 7, 1967
Meeting, April 4, 1967
Meeting, May 2, 1967
Meeting, May 23, 1967
Meeting, June 20, 1967
Meeting, July 18, 1967
Meeting, August 15, 1967
Meeting, September 12, 1967
Meeting, October 3, 1967
Meeting, October 24, 1967
Meeting, November 14, 1967
Meeting, November 27, 1967
Meeting, December 12, 1967
Meeting, January 9, 1968
